dbn,school_name,school_type,enrollment,rigorous_instruction,collab_teachers,support_environ,effective_school_leadership,strong_fam_community_ties,trust,english_language_learners,students_disabilities,self_contained,economic_need_index,temp_housing,hra_eligible,asian,black,hispanic,white,teachers_3_or_more_yrs_exp,student_attendance_rate,chronically_absent,teacher_attendance_rate
01M015,P.S. 015 Roberto Clemente,Elementary,161,0.85,0.9,0.83,0.96,0.97,0.94,0.05,0.23,0.006,0.889,0.398,0.77,0.124,0.28,0.553,0.037,0.64,0.928,0.227,0.974
01M019,P.S. 019 Asher Levy,Elementary,239,0.87,0.92,0.85,0.9,0.98,0.91,0.033,0.427,0.113,0.687,0.155,0.548,0.059,0.218,0.623,0.067,0.75,0.909,0.343,0.966
01M020,P.S. 020 Anna Silver,Elementary,439,0.7,0.77,0.74,0.8,0.95,0.86,0.144,0.264,0.093,0.772,0.164,0.647,0.289,0.13,0.506,0.036,0.667,0.925,0.296,0.966
01M034,P.S. 034 Franklin D. Roosevelt,K-8,288,0.74,0.66,0.64,0.66,0.94,0.76,0.076,0.392,0.028,0.949,0.295,0.875,0.028,0.33,0.601,0.028,0.545,0.885,0.455,0.968
01M063,The STAR Academy - P.S.63,Elementary,207,0.8,0.86,0.87,0.9,0.96,0.92,0.019,0.362,0.019,0.76,0.261,0.623,0.019,0.213,0.652,0.082,0.591,0.908,0.347,0.967
01M064,P.S. 064 Robert Simon,Elementary,204,0.9,0.94,0.86,0.95,0.97,0.95,0.029,0.304,0.025,0.9,0.24,0.784,0.034,0.176,0.711,0.059,0.75,0.89,0.456,0.973
01M110,P.S. 110 Florence Nightingale,Elementary,338,0.71,0.79,0.75,0.85,0.94,0.86,0.024,0.127,0.012,0.591,0.154,0.423,0.151,0.107,0.447,0.26,0.708,0.941,0.229,0.974
01M134,P.S. 134 Henrietta Szold,Elementary,267,0.69,0.61,0.57,0.64,0.91,0.77,0.09,0.449,0.146,0.915,0.221,0.869,0.097,0.255,0.607,0.03,0.839,0.893,0.455,0.962
01M140,P.S. 140 Nathan Straus,K-8,373,0.77,0.83,0.67,0.88,0.93,0.89,0.115,0.381,0.164,0.897,0.257,0.812,0.046,0.137,0.791,0.027,0.75,0.886,0.463,0.964
01M142,P.S. 142 Amalia Castro,Elementary,302,0.74,0.79,0.69,0.83,0.96,0.84,0.086,0.404,0.119,0.906,0.354,0.801,0.023,0.152,0.795,0.01,0.575,0.909,0.349,0.976
01M184,P.S. 184m Shuang Wen,K-8,642,0.7,0.67,0.69,0.6,0.92,0.8,0.154,0.167,0.016,0.676,0.131,0.519,0.701,0.042,0.129,0.072,0.577,0.976,0.046,0.982
01M188,P.S. 188 The Island School,K-8,391,0.98,0.98,0.99,0.97,0.97,0.98,0.077,0.373,0.107,0.968,0.458,0.903,0.015,0.327,0.621,0.031,0.795,0.878,0.486,0.961
01M315,The East Village Community School,Elementary,297,0.82,0.85,0.81,0.83,0.99,0.88,0.017,0.172,0.007,0.365,0.037,0.232,0.088,0.047,0.226,0.586,0.75,0.947,0.16,0.97
01M332,University Neighborhood Middle School,Middle,209,0.81,0.91,0.69,0.9,0.89,0.91,0.033,0.45,0.115,0.812,0.191,0.727,0.086,0.191,0.627,0.086,0.571,0.915,0.284,0.986
01M361,The Children's Workshop School,Elementary,284,0.9,0.95,0.91,0.97,0.97,0.96,0.039,0.271,0.007,0.532,0.106,0.387,0.095,0.102,0.405,0.352,0.815,0.917,0.258,0.976
01M363,Neighborhood School,Elementary,270,0.88,0.85,0.89,0.82,0.96,0.9,0.015,0.256,0.004,0.459,0.074,0.326,0.067,0.093,0.374,0.419,0.8,0.935,0.195,0.975
01M364,Earth School,Elementary,314,0.84,0.95,0.91,0.88,0.98,0.92,0.067,0.318,0.013,0.577,0.169,0.452,0.07,0.111,0.404,0.338,0.871,0.931,0.213,0.981
